Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,2570,WAKE,120,4.764414278,5.102457812,14.55776091,6.859012958,
AAL,2580,WAKE,87,9.103984769,6.976421318,13.21986977,6.490047236,
AAL,2590,WAKE,54,9.588420089,9.265998823,9.948445043,6.638165072,
AAL,2600,WAKE,96,7.145825798,6.250589213,12.01602118,5.246213066,
AAL,2610,WAKE,108,5.83924676,6.037416656,13.40531975,4.932013674,
AAL,2620,WAKE,123,8.050945149,5.580738439,14.23884934,4.724810229,
AAL,2630,WAKE,114,7.694061234,5.699286433,13.36536826,4.73377366,
AAL,2640,WAKE,147,5.323099171,4.591006918,16.09277434,6.239689715,
AAL,2650,WAKE,81,10.63169508,6.337613973,11.26237887,4.847833949,
AAL,2660,WAKE,99,7.661101942,5.225903611,11.74962824,4.493219187,
AAL,2670,WAKE,96,6.525898184,5.54012409,9.995132187,2.792356266,
AAL,2680,WAKE,120,4.896432343,5.737529948,13.39549774,5.138358211,
AAL,2690,WAKE,93,7.259307081,7.683131424,12.68340936,6.159676133,
AAL,2700,WAKE,120,6.649108756,6.078341688,14.44832999,6.004285638,
AAL,2710,WAKE,153,3.171930119,3.130394654,17.33264132,7.003671078,
AAL,2720,WAKE,150,4.38242422,3.653857702,16.19630771,4.405493959,
AAL,2730,WAKE,159,3.123203896,1.93329861,16.69684298,4.746696289,
AAL,2740,WAKE,150,2.974981707,2.818957573,16.11822368,4.238042019,
AAL,2750,WAKE,138,3.50152971,1.972232589,14.16147818,2.352209155,
AAL,2760,WAKE,129,3.35551696,1.697254702,13.42767757,3.402552164,
AAL,2770,WAKE,135,4.499191177,3.012151324,15.02506403,5.659536576,
AAL,2780,WAKE,144,3.6131989,2.855599099,15.62761765,5.206437885,
AAL,2790,WAKE,99,8.203329637,6.90580977,13.03738665,5.547329615,
AAL,2800,WAKE,72,4.665550321,5.638107578,14.29655896,7.25828145,
AAL,2810,WAKE,123,0.976848503,1.466556109,14.35725723,5.512463032,
AAL,2820,WAKE,138,0.579626776,0.982319839,14.94558145,5.031431253,
AAL,2830,WAKE,111,1.207529849,4.113591732,15.38616679,7.389259404,
AAL,2840,WAKE,111,2.988438765,3.297622102,13.56473604,5.328602067,
AAL,2850,WAKE,114,3.386411263,4.902413897,13.70072577,6.064700003,
AAL,2860,WAKE,87,3.257047819,6.547145964,11.72045173,5.841666235,
AAL,2870,WAKE,99,4.956498612,7.217168136,13.71816844,6.991596322,
AAL,2880,WAKE,114,2.507003118,0.898237759,11.31401782,1.028802579,
AAL,2890,WAKE,105,5.287914876,7.001729406,12.69496917,5.464228413,
AAL,2900,WAKE,111,5.933443615,6.384671001,12.62831753,4.139106394,
